PID,NAME,PRICE,PRODUCT_IMAGE,LOCATION,DELTA_TIME
261597124,아이폰 14 플러스 512gb 배터리99,800000,https://media.bunjang.co.kr/product/261597124_1_1714853716_w{res}.jpg,대전광역시 유성구 상대동,1714853725
261736651,아이폰14 256g 미개봉 자급제 새제품 판매합니다.,960000,https://media.bunjang.co.kr/product/261736651_1_1714359126_w{res}.jpg,서울특별시 성북구 정릉제1동,1715222655
262928979,아이폰14프로맥스 512g 미개봉 자급제 새제품 판매합니다.,1600000,https://media.bunjang.co.kr/product/262928979_1_1715306664_w{res}.jpg,서울특별시 성북구 정릉제1동,1715306664
262929003,아이폰14프로맥스 256g 미개봉 자급제 새제품 판매합니다.,1480000,https://media.bunjang.co.kr/product/262929003_1_1715306680_w{res}.jpg,서울특별시 성북구 정릉제1동,1715306680
262547405,아이폰 14 프로 256 딥퍼플 급처분,1000000,https://media.bunjang.co.kr/product/262547405_1_1715003098_w{res}.jpg,서울특별시 성북구 장위제1동,1714991441
250207649,"s급 아이폰14프로 256 스페이스블랙 액정,카메라 새것",1090000,https://media.bunjang.co.kr/product/250207649_1_1706160143_w{res}.jpg,서울특별시 성동구 왕십리제2동,1715353061
259885916,아이폰 14pro 512기가 스그,1100000,https://media.bunjang.co.kr/product/259885916_1_1712898307_w{res}.jpg,경기도 평택시 동삭동,1714574831
260270041,아이폰 14프로 퍼플 256,900000,https://media.bunjang.co.kr/product/260270041_1_1714389335_w{res}.jpg,대전광역시 서구 둔산1동,1714394545
261658079,아이폰14프로 실버 512 풀박스,960000,https://media.bunjang.co.kr/product/261658079_1_1714287238_w{res}.jpg,광주광역시 광산구 어룡동,1714544171
262254349,아이폰14프로맥스 256g 딥퍼플 자급제,1200000,https://media.bunjang.co.kr/product/262254349_1_1714748910_w{res}.jpg,서울특별시 강북구 인수동,1714748910
251477232,아이폰13미니 128gb 팝니다.,430000,https://media.bunjang.co.kr/product/251477232_1_1706595796_w{res}.jpg,서울특별시 성동구 사근동,1708313276
252152121,풀박) 아이폰 13mini (a급)256기가 핑크,420000,https://media.bunjang.co.kr/product/252152121_1_1708146855_w{res}.jpg,경기도 시흥시 대야동,1708252411
252164398,아이폰 13 프로맥스 512,780000,https://media.bunjang.co.kr/product/252164398_1_1707275648_w{res}.jpg,서울특별시 송파구 석촌동,1707275652
252700715,아이폰 13프로 실버 128기가,500000,https://media.bunjang.co.kr/product/252700715_1_1718090463_w{res}.jpg,대전광역시 유성구 진잠동,1707546625
249802492,아이폰 13 미니 미드나이트 256기가,310000,https://media.bunjang.co.kr/product/249802492_1_1713850526_w{res}.jpg,대전광역시 유성구 온천2동,1707578271
252278922,아이폰13프로맥스 256 실버 리퍼 미사용,1000000,https://media.bunjang.co.kr/product/252278922_1_1707446773_w{res}.jpg,인천광역시 서구 검단2동,1707566651
240766839,특s급) 아이폰13미니 128gb 스타라이트,550000,https://media.bunjang.co.kr/product/240766839_1_1707230416_w{res}.jpg,경기도 수원시 영통구 매탄1동,1707230086
252319424,아이폰13  256기가  상태좋음 371002,630000,https://media.bunjang.co.kr/product/252319424_1_1707211858_w{res}.jpg,서울특별시 금천구 가산동,1707211858
251854163,아이폰13미니 128기가팝니다,339000,https://media.bunjang.co.kr/product/251854163_1_1706873580_w{res}.jpg,경기도 고양시 덕양구 행신3동,1706862736
