data_pid,location,price,time,title,month,brand,series,model,storage,coment
,        경기도 남양주시 진접읍      ,165000,,아이폰 11프로 256 부품용(사용가능),,애플,아이폰 11,pro,256,"급처물건이라 계속 연락없으면 다음분께 넘깁니다

채팅으로 적당한 가격조율 가능합니다
아이폰 11프로 256 스페이스그레이.
액정만 수리맡겨 계속 사용하다
광선검이 생겨 더이상 고쳐쓰기 포기하고 판매해요
액정만 교체하시면 정상사용 가능합니다
수화부 스피커 부분 부품을 통째로 교체해서 페이스아이디는 사용 불가합니다
그외에 유심, 통화, 각종기능 다 정상작동 합니다
구매하시면 초기화해서 보내드립니다
계정걱정 안하셔도 돼요
계좌이체거래 우선시하구요 계좌거래는 배송비 포함가입니다
구매후 환불 불가"
,        충북 청주시 서원구 성화.개신.죽림동      ,150000,,아이폰 11pro,,애플,아이폰 11,pro,0,액정이 조금 많이 깨져 있습니다. 배터리도 많이 없구요 수리비용 다 빼서 올립니다.
,        서울 송파구 오금동      ,220000,,아이폰 11 퍼플 128g,,애플,아이폰 11,regular,128,"생활기스 , 액정 긁힘 있습니다 사진 참고해주세요 

터치에는 문제 없습니당

박스랑 기기만 보유중이에요"
,        서울 성동구 왕십리제2동      ,370000,,아이폰 11 256g 블루 배터리 효율 100%,,애플,아이폰 11,regular,256,"아이폰 11 256G 블루 정상해지폰 팝니다
배터리 효율 100%
외관 하단 왼쪽에 작은 찍힘 외엔 아주 깨긋합니다(사진 참고)

직거래 싱왕십리 인근에서 원합니다
많은 연락주세요"
,        충남 계룡시 엄사면      ,200000,,아이폰 11,,애플,아이폰 11,regular,64,"아이폰 11(64기가) 팔아요~,~
색상은 화이트이며,
사설 업체에서 디스플레이 1회, 배터리 1회 교체 했습니다.
휴대폰 교체하기 얼마전까지 사용하여 기능 상 문제는 없으며, 외관 상 상태는 A급! 하단에 찍힘 한 군데 있으니 사진 참고해 주세요,~

구매 하시면 8만원 상당 케이스티파이 케이스도 같이 드릴게요😊(사진 참고)"
,        서울 서초구 방배동      ,17000,,모남희 그립톡 아이폰11 pro,,애플,아이폰 11,pro,0,몇 번 안 쓴 상품이며 그립톡 잘 붙어있습니다! 이번에 신사 팝업에서 구매한 거예요 :)
,        서울 광진구 자양제1동      ,375000,,아이폰 11pro 256gb 스페이스그레이,,애플,아이폰 11,pro,256,"아이폰 11 pro 256gb 스페이스그레이

사용하면서 케이스 뺀적 없어서 잔기스는 조금 있을수 있겠지만 찍힘 깨짐 없습니다

사진상 구성 다 드립니다"
,        경기도 화성시 산척동      ,150000,,아이폰11 64기가 팔아요,,애플,아이폰 11,regular,64,"아이폰11 64기가 화이트팔아요
액정 하우징 양호합니다
액정 사설수리했습니다
배터리 73%

페이스아이디×
뮤트버튼×

케이스2개
강화필름 1개 같이드립니다
"
,        서울 서초구 잠원동      ,680000,,"아이폰 11pro,gold,256gb",,애플,아이폰 11,pro,256,"아이폰 11프로 Gold색상 256기가 입니다
케이스를 한번도 안빼고 사용해서 사진과 같이 모서리 찍힘이나 기스 없구요 (배터리성능은 77%)
앞뒤 화면 전부 깨끗합니다 (화면은 필름까지 붙어있늠) 
구매하실분만 챗 주세요"
,        서울 강남구 신사동      ,370000,,아이폰11 256g 블루 배터리 효율 100%,,애플,아이폰 11,regular,256,"아이폰11 256G 블루 판매합니다
배터리 효율 100%
외관 상태는 중고폰이라 작은 찍힘이 하단에 한군데 존재하지만 그 외에 액정이랑 전체 깔끔합니다( 사진 참고)
왕십리2동 인근에서 거래 가능합니다
"
,        서울 종로구 적선동      ,370000,,아이폰 11 256g 블루 배터리 효율 100%,,애플,아이폰 11,regular,256,"아이폰 11 256G 블루 정상해지폰 팝니다
배터리 효율 100%
외관 하단 왼쪽에 작은 찍힘 외엔 아주 깨긋합니다(사진 참고)

직거래 싱왕십리 인근에서 원합니다
많은 연락주세요"
,        대전 서구 관저1동      ,260000,,아이폰 11pro 256,,애플,아이폰 11,pro,256,"박스를 안버려서 같이 넣어서 드려요
skt 정상해지폰이고 256기가 미드나잇그린
케이스항시끼우고 필름도 안떼서 깨끗한상태에요
배터리73%입니다
평일에만 관저동 거래희망합니당"
,        부산 연제구 연산동      ,350000,,아이폰 11프로 256기가 미드나잇그린 팝니다,,애플,아이폰 11,pro,256,"아이폰 11 프로 256기가 미드나잇그린 팝니다
왼쪽 상단 부분 살짝 찍힌 부분이 있기는 하나 케이스에 씌어서 사용했었기 때문에 상태 깨끗합니다"
,        경기도 수원시 장안구 이목동      ,160000,,아이폰11,,애플,아이폰 11,regular,0,휴대폰 느리지않고 드릴땐 초기화 해서 드려요!! 화면같이 조금 나갔어요!!ㅜㅠ직거래는 수원역 가능합니당
,        강원도 원주시 학성동      ,230000,,아이폰11 일반 블랙 상태s급 판매합니다,,애플,아이폰 11,regular,64,"잔기스 하나없이 사용한 아이폰입니다~
배터리효율 74% , 용량64g"
